drg_comb,drg_text_comb,drg_text_short_comb,mdc,nat_ver
506,Other reconstruction of breast,Other reconstruction of breast,30.0,fin/ice/nor/swe
509O,"Other procedure for mammary gland diseases, short therapy","Other procedure for mammary gland diseases, short therapy",30.0,est/swe/lat/ice/fin/nor
509X,Other procedures for mammary gland diseases,Other procedures for mammary gland diseases,30.0,est/swe/lat/ice/fin/nor
511A,Knee/ankle primary prosthesis procedures,Knee/ankle primary prosthesis procedures,8.0,swe
511B,Knee/ankle secondary prosthesis procedures,Knee/ankle secondary prosthesis procedures,8.0,swe
512C,"Hip primary prosthesis procedures or with fracture, w CC","Hip primary prosthesis procedures or with fracture, w CC",8.0,swe
512N,"Hip primary prosthesis procedure, w/o CC","Hip primary prosthesis procedure, w/o CC",8.0,swe
513N,"Hip secondary prosthesis procedures, w/o CC                                                                                ","Hip secondary prosthesis procedures, w/o CC                                                                                ",8.0,swe
514C,"Combined anterior/posterior spinal fusion, w CC","Combined anterior/posterior spinal fusion, w CC",8.0,swe
514N,"Combined anterior/posterior spinal fusion, w/o CC","Combined anterior/posterior spinal fusion, w/o CC",8.0,swe
515C,"Infectious arthritis or bursitis, w CC","Infectious arthritis or bursitis, w CC",8.0,swe
515M,"Infectious arthritis or bursitis, w MCC","Infectious arthritis or bursitis, w MCC",8.0,swe
515N,"Infectious arthritis or bursitis, w/o CC","Infectious arthritis or bursitis, w/o CC",8.0,swe
515O,Doctor visits for infectious arthritis or bursitis,Doctor visits for infectious arthritis or bursitis,8.0,swe
516C,"Specific inflammatory arthropathy, w CC","Specific inflammatory arthropathy, w CC",8.0,swe
516M,"Specific inflammatory arthropathy, w MCC","Specific inflammatory arthropathy, w MCC",8.0,swe
516N,"Specific inflammatory arthropathy, w/o CC","Specific inflammatory arthropathy, w/o CC",8.0,swe
516O,Doctor visits for specific inflammatory arthropathy,Doctor visits for specific inflammatory arthropathy,8.0,swe
517C,"Other arthritis, w CC","Other arthritis, w CC",8.0,swe
517N,"Other arthritis, w/o CC","Other arthritis, w/o CC",8.0,swe
517O,Doctor visits for other arthritis,Doctor visits for other arthritis,8.0,swe
518B,"Allogenic stem cell transfer, age 0-17, w/o CC","Allogenic stem cell transfer, age 0-17, w/o CC",17.0,swe
518N,"Allogenic stem cell transfer, age >17, w/o CC","Allogenic stem cell transfer, age >17, w/o CC",17.0,swe
520C,"Obstructive sleep apnoea syndrom, w CC","Obstructive sleep apnoea syndrom, w CC",3.0,swe
520N,"Obstructive sleep apnoea syndrom, w/o CC","Obstructive sleep apnoea syndrom, w/o CC",3.0,swe
520NO,Nor - Poliklinisk konsultasjon vedr søvnapne,Poliklinisk konsultasjon vedrørende søvnapne,3.0,nor
520O,Doctor visits for sleep disorders,Doctor visits for sleep disorders,3.0,swe
520X,Obstructive sleep apnoe syndrom,Obstructive sleep apnoe syndrom,3.0,est/lat/ice/fin/nor
521O,Simple correction of obstructive apnoea,Simple correction of obstructive apnoea,3.0,est/swe/lat/ice/fin/nor
521X,Simple correction of obstructive apnoea,Simple correction of obstructive apnoea,3.0,est/swe/lat/ice/fin/nor
530NX,Major plastic surgery after excessive weight loss (incl post bariatric surgery),Major plastic surgery after excessive weight loss (incl post,9.0,nor
530O,"Plastic surgery after excessive weight loss (incl post bariatric surgery), day surgery",Plastic surgery after excessive weight loss (incl post baria,9.0,nor
530X,General anaesthesia for other problem,General anaesthesia for other problem,23.0,est/lat
531N,"General anaesthesia for neurological problem, except infections and tumours",General anaesthesia for neurological problem,1.0,swe
531NX,Other plastic surgery after excessive weight loss (incl post bariatric surgery),Other plastic surgery after excessive weight loss (incl post,9.0,nor
531X,General anaesthesia for neurological problem,General anaesthesia for neurological problem,1.0,est/lat/ice/fin
550A,"Stroke rehabilitation, patient able to go to tub with help, able to groom, able to wheelchair with help","Stroke rehabilitation, patient able to go to tub with help,",23.0,est/swe/lat/ice/fin
550B,"Stroke rehabilitation, patient able to go to tub with help, able to groom, not able to wheelchair","Stroke rehabilitation, patient able to go to tub with help,",23.0,est/swe/ice/fin
550C,"Stroke rehabilitation, patient able to go to tub with help, at least helped to groom, able to wheelchair with help","Stroke rehabilitation, patient able to go to tub with help,",23.0,est/swe/ice/fin
550D,"Stroke rehabilitation, patient able to go to tub with help, at least helped to groom, not able to wheelchair","Stroke rehabilitation, patient able to go to tub with help,",23.0,est/swe/ice/fin
550E,"Stroke rehabilitation, patient not able to go to tub","Stroke rehabilitation, patient not able to go to tub",23.0,est/swe/ice/fin
551A,"Demyelization disease rehabilitation, patient wheelchair with help","Demyelization disease rehabilitation, patient wheelchair wit",23.0,est/swe/lat/ice/fin
551B,"Demyelization disease rehabilitation, patient not able to wheelchair","Demyelization disease rehabilitation, patient not able to wh",23.0,est/swe/ice/fin
552A,"Spinal cord problem rehabilitation, patient able to wheelchair","Spinal cord problem rehabilitation, patient able to wheelcha",23.0,est/swe/lat/ice/fin
552B,"Spinal cord problem rehabilitation, patient needing at least help to wheelchair, able to eat with help","Spinal cord problem rehabilitation, patient needing at least",23.0,est/swe/ice/fin
552C,"Spinal cord problem rehabilitation, patient needing at least help to wheelchair, not able to eat","Spinal cord problem rehabilitation, patient needing at least",23.0,est/swe/ice/fin
553A,"Brain injury rehabilitation, patient able to go to tub","Brain injury rehabilitation, patient able to go to tub",23.0,est/swe/lat/ice/fin
553B,"Brain injury rehabilitation, patient needing at least help to go to tub","Brain injury rehabilitation, patient needing at least help t",23.0,est/swe/ice/fin
554A,"Brain tumour rehabilitation, patient able to wheelchair with help","Brain tumour rehabilitation, patient able to wheelchair with",23.0,est/swe/lat/ice/fin
554B,"Brain tumour rehabilitation, patient not able to wheelchair","Brain tumour rehabilitation, patient not able to wheelchair",23.0,est/swe/ice/fin
555A,"Other neurological problem rehabilitation, patient able to wheelchair with help","Other neurological problem rehabilitation, patient able to w",23.0,est/swe/lat/ice/fin
555B,"Other neurological problem rehabilitation, patient not able to wheelchair","Other neurological problem rehabilitation, patient not able",23.0,est/swe/ice/fin
556A,"Circulatory or respiratory problem rehabilitation, patient able to wheelchair","Circulatory or respiratory problem rehabilitation, patient a",23.0,est/swe/lat/ice/fin
556B,"Circulatory or respiratory problem rehabilitation, patient needing at least help to wheelchair","Circulatory or respiratory problem rehabilitation, patient n",23.0,est/swe/ice/fin
557A,"CTD rehabilitation, patient able to toilet at least with help, no bowel problems, wheelchair with help","CTD rehabilitation, patient able to toilet at least with hel",23.0,est/swe/lat/ice/fin
557B,"CTD rehabilitation, patient able to toilet at least with help, no bowel problems, not able to wheelchair","CTD rehabilitation, patient able to toilet at least with hel",23.0,est/swe/ice/fin
557C,"CTD rehabilitation, patient able to toilet at least with help, bowel problems","CTD rehabilitation, patient able to toilet at least with hel",23.0,est/swe/ice/fin
557D,"CTD rehabilitation, patient not able to toilet, no bowel problem","CTD rehabilitation, patient not able to toilet, no bowel pro",23.0,est/swe/ice/fin
557E,"CTD rehabilitation, patient not able to toilet, bowel problems","CTD rehabilitation, patient not able to toilet, bowel proble",23.0,est/swe/ice/fin
558A,"Other trauma rehabilitation, toilet at least with help, able to walk","Other trauma reh, toilet at least with help, able to walk",23.0,est/swe/lat/ice/fin
558B,"Other trauma rehabilitation, toilet at least with help, at least help to walk","Oth tr reh, toilet at least with help, at least help to walk",23.0,est/swe/ice/fin
558C,"Other trauma rehabilitation, not able to toilet","Other trauma reh, not able to toilet",23.0,est/swe/ice/fin
559A,"Amputation rehabilitation, able to wheelchair with help","Amputation reh, able to wheelchair with help",23.0,est/swe/lat/ice/fin
559B,"Amputation rehabilitation, not able to wheelchair","Amputation reh, not able to wheelchair",23.0,est/swe/ice/fin
560A,"Other rehabilitation, able to toilet, able to socialize, able to walk with help                                                                              ","Other rehabilitation, able to toilet, able to socialize, able to walk with help                                                                              ",23.0,est/swe/lat/ice/fin
560B,"Other rehabilitation, able to toilet, able to socialize, not able to walk","Other rehabilitation, able to toilet, able to socialize, not able to walk",23.0,est/swe/ice/fin
560C,"Other rehabilitation, able to toilet, socialize needing at least help","Other rehabilitation, able to toilet, socialize needing at least help",23.0,est/swe/ice/fin
560D,"Other rehabilitation, toilet needing at least help, able socialize","Other rehabilitation, toilet needing at least help, able socialize",23.0,est/swe/ice/fin
560E,"Other rehabilitation, toilet needing at least help, socialize needing at least help","Other rehabilitation, toilet needing at least help, socialize needing at least help",23.0,est/swe/ice/fin
570O,"Insertion or replacement of nervous system central stimulation device, short therapy","Insertion or replacement of nervous system central stimulation device, short therapy",1.0,est/swe/lat/ice/fin/nor
570X,Insertion or replacement of nervous system central stimulation device,Insertion or replacement of nervous system central stimulation device,1.0,est/swe/lat/ice/fin/nor
571X,Insertion of intracranial or vagal nerve stimulator,Insertion of intracranial or vagal nerve stimulator,1.0,est/swe/lat/ice/fin
580A,"Fin - Suun alueen ongelma, vuodeosastohoito",,3.0,fin
580B,Fin - Suun alueen tutkimus ilman anestesiaa ja merkittävää kuvantamista,,3.0,fin
580C,Fin - Merkittävä suun alueen kuvantaminen ilman anestesiaa,,3.0,fin
580D,Fin - Laaja suun alueen tutkimus ilman anestesiaa ja merkittävää kuvantamista,,3.0,fin
580E,Fin - Laaja suun alueen tutkimus ilman anestesiaa ja merkittävä kuvantaminen,,3.0,fin
580F,Fin - Suun ja leuan alueen toimenpide ilman anestesiaa ja merkittävää kuvantamista,,3.0,fin
580G,Fin - Suun alueen ongelman hoito yleisanestesiassa,,3.0,fin
580H,Fin - Suun ja leuan alueen toimenpide anestesiassa tai merkittävän kuvantamisen kanssa,,3.0,fin
580K,Fin - Laaja suun ja leuan alueen toimenpide,,3.0,fin
580O,"Fin - Suun alueen ongelma, lyhyt hoito",,3.0,fin
601A,"Bipolar syndrome, age <60, w CC","Bipolar syndrome, age <60, w CC",19.0,swe
601B,"Bipolar syndrome, age <60, w/o CC, primary care","Bipolar syndrome, age <60, w/o CC, primary care",19.0,swe
601C,"Visits for bipolar syndrome, age <60, w CC","Visits for bipolar syndrome, age <60, w CC",19.0,swe
601D,"Visits for bipolar syndrome, age <60, w/o CC","Visits for bipolar syndrome, age <60, w/o CC",19.0,swe
601E,"Bipolar syndrome, age >59, w CC","Bipolar syndrome, age >59, w CC",19.0,swe
601F,"Bipolar syndrome, age >59, w/o CC","Bipolar syndrome, age >59, w/o CC",19.0,swe
601G,"Visits for bipolar syndrome, age >59, w CC","Visits for bipolar syndrome, age >59, w CC",19.0,swe
601H,"Visits for bipolar syndrome, age >59, w/o CC","Visits for bipolar syndrome, age >59, w/o CC",19.0,swe
602A,"Other affective disorders, age <60, w CC","Other affective disorders, age <60, w CC",19.0,swe
602B,"Other affective disorders, age <60, w/o CC","Other affective disorders, age <60, w/o CC",19.0,swe
602C,"Visits for other affective disorders, age <60, w CC","Visits for other affective disorders, age <60, w CC",19.0,swe
602D,"Visits for other affective disorders, age <60, w/o CC","Visits for other affective disorders, age <60, w/o CC",19.0,swe
602E,"Other affective disorders, age >59, w MCC","Other affective disorders, age >59, w MCC",19.0,swe
602F,"Other affective disorders, age >59, w CC","Other affective disorders, age >59, w CC",19.0,swe
602G,"Other affective disorders, age >59, w/o CC","Other affective disorders, age >59, w/o CC",19.0,swe
602H,"Visits for other affective disorders, age >59, w CC","Visits for other affective disorders, age >59, w CC",19.0,swe
602I,"Visits for other affective disorders, age >59, w/o CC","Visits for other affective disorders, age >59, w/o CC",19.0,swe
603A,"Anxiety syndrome, w CC","Anxiety syndrome, w CC",19.0,swe
603B,"Anxiety syndrome, w/o CC","Anxiety syndrome, w/o CC",19.0,swe
603C,"Visits for anxiety syndrome, w CC","Visits for anxiety syndrome, w CC",19.0,swe
603D,"Visits for anxiety syndrome, w/o CC","Visits for anxiety syndrome, w/o CC",19.0,swe
604A,"Maladaptive stress reactions, non-acute, w CC","Maladaptive stress reactions, non-acute, w CC",19.0,swe
604B,"Maladaptive stress reactions, non-acute, w/o CC","Maladaptive stress reactions, non-acute, w/o CC",19.0,swe
604C,"Visits for maladaptive stress reactions, non-acute, w CC","Visits for maladaptive stress reactions, non-acute, w CC",19.0,swe
604D,"Visits for maladaptive stress reactions, non-acute, w/o CC","Visits for maladaptive stress reactions, non-acute, w/o CC",19.0,swe
604E,"Maladaptive stress reactions, acute, w CC","Maladaptive stress reactions, acute, w CC",19.0,swe
604F,"Maladaptive stress reactions, acute, w/o CC","Maladaptive stress reactions, acute, w/o CC",19.0,swe
604G,"Visits for maladaptive stress reactions, acute, w CC","Visits for maladaptive stress reactions, acute, w CC",19.0,swe
604H,"Visits for maladaptive stress reactions, acute, w/o CC","Visits for maladaptive stress reactions, acute, w/o CC",19.0,swe
605A,"Somatoform and dissociative syndromes, w CC","Somatoform and dissociative syndromes, w CC",19.0,swe
605B,"Somatoform and dissociative syndromes, w/o CC","Somatoform and dissociative syndromes, w/o CC",19.0,swe
605C,"Visits for somatoform and dissociative syndromes, w CC","Visits for somatoform and dissociative syndromes, w CC",19.0,swe
605D,"Visits for somatoform and dissociative syndromes, w/o CC","Visits for somatoform and dissociative syndromes, w/o CC",19.0,swe
606A,"Personality disorders, w CC","Personality disorders, w CC",19.0,swe
606B,"Personality disorders, w/o CC","Personality disorders, w/o CC",19.0,swe
606C,"Visits for personality disorders, w CC, short therapy","Visits for personality disorders, w CC, short therapy",19.0,swe
606D,"Visits for personality disorders, w/o CC, short therapy","Visits for personality disorders, w/o CC, short therapy",19.0,swe
607A,"Organic cerebral syndromes, w MCC","Organic cerebral syndromes, w MCC",19.0,swe
607B,"Visits for organic cerebral syndromes, w CC","Visits for organic cerebral syndromes, w CC",19.0,swe
607C,"Visits for organic cerebral syndromes, w/o CC","Visits for organic cerebral syndromes, w/o CC",19.0,swe
608A,"Visits for schizophrenia, age <30, w CC, short therapy ","Visits for schizophrenia, age <30, w CC, short therapy ",19.0,swe
608B,"Visits for schizophrenia, age <30, w/o CC, short therapy ","Visits for schizophrenia, age <30, w/o CC, short therapy ",19.0,swe
608C,"Schizophrenia, age 30-59, w CC","Schizophrenia, age 30-59, w CC",19.0,swe
608D,"Schizophrenia, age 30-59, w/o CC","Schizophrenia, age 30-59, w/o CC",19.0,swe
608F,"Visits for schizophrenia, age 30-59, w CC, short therapy","Visits for schizophrenia, age 30-59, w CC, short therapy",19.0,swe
608G,"Visits for schizophrenia, age 30-59, w/o CC, short therapy","Visits for schizophrenia, age 30-59, w/o CC, short therapy",19.0,swe
608I,"Schizophrenia, age >59, w CC","Schizophrenia, age >59, w CC",19.0,swe
608J,"Schizophrenia, age >59, w/o CC","Schizophrenia, age >59, w/o CC",19.0,swe
608K,"Visits for schizophrenia, age >59, w CC, short therapy","Visits for schizophrenia, age >59, w CC, short therapy",19.0,swe
608L,"Visits for schizophrenia, age >59, w/o CC, short therapy","Visits for schizophrenia, age >59, w/o CC, short therapy",19.0,swe
609A,"Persistent psychoses, without symptoms of schizophrenia, w CC","Persistent psychoses, without symptoms of schizophrenia, w CC",19.0,swe
609B,"Persistent psychoses, without symptoms of schizophrenia, w/o CC","Persistent psychoses, without symptoms of schizophrenia, w/o CC",19.0,swe
609C,"Visits for persistent psychoses, without symptoms of schizophrenia, w CC","Visits for persistent psychoses, without symptoms of schizophrenia, w CC",19.0,swe
609D,"Visits for persistent psychoses, without symptoms of schizophrenia, w/o CC","Visits for persistent psychoses, without symptoms of schizophrenia, w/o CC",19.0,swe
610A,"Acute psychoses without symptoms of schizophrenia, w CC","Acute psychoses without symptoms of schizophrenia, w CC",19.0,swe
610B,"Acute psychoses without symptoms of schizophrenia, w/o CC","Acute psychoses without symptoms of schizophrenia, w/o CC",19.0,swe
610C,"Visits for acute psychoses without symptoms of schizophrenia, w CC","Visits for acute psychoses without symptoms of schizophrenia, w CC",19.0,swe
610D,"Visits for acute psychoses without symptoms of schizophrenia, w/o CC","Visits for acute psychoses without symptoms of schizophrenia, w/o CC",19.0,swe
611A,"Other psychotic syndromes, w CC","Other psychotic syndromes, w CC",19.0,swe
611B,"Other psychotic syndromes, w/o CC","Other psychotic syndromes, w/o CC",19.0,swe
611C,"Visits for other psychotic syndromes, w CC, short therapy","Visits for other psychotic syndromes, w CC, short therapy",19.0,swe
611D,"Visits for other psychotic syndromes, w/o CC, short therapy","Visits for other psychotic syndromes, w/o CC, short therapy",19.0,swe
612A,"Intellectual disability, w CC","Intellectual disability, w CC",19.0,swe
612B,"Intellectual disability, w/o CC","Intellectual disability, w/o CC",19.0,swe
612C,"Visits for intellectual disability, w CC","Visits for intellectual disability, w CC",19.0,swe
612D,"Visits for intellectual disability, w/o CC","Visits for intellectual disability, w/o CC",19.0,swe
613A,"Neuropsychiatric disorders, w CC","Neuropsychiatric disorders, w CC",19.0,swe
613B,"Neuropsychiatric disorders, w/o CC","Neuropsychiatric disorders, w/o CC",19.0,swe
613C,"Visits for neuropsychiatric disorders, w CC, short therapy","Visits for neuropsychiatric disorders, w CC, short therapy",19.0,swe
613D,"Visits for neuropsychiatric disorders, w/o CC, short therapy","Visits for neuropsychiatric disorders, w/o CC, short therapy",19.0,swe
614A,"Other psychiatric disorders with debut in childhood or adolescence, w CC","Other psychiatric disorders with debut in childhood or adolescence, w CC",19.0,swe
614B,"Visits for other psychiatric disorders with debut in childhood or adolescence, w CC, short therapy","Visits for other psychiatric disorders with debut in childhood or adolescence, w CC, short therapy",19.0,swe
614C,"Visits for other psychiatric disorders with debut in childhood or adolescence, w/o CC, short therapy","Visits for other psychiatric disorders with debut in childhood or adolescence, w/o CC, short therapy",19.0,swe
614D,"Other psychiatric disorders with debut in childhood or adolescence, w/o CC","Other psychiatric disorders with debut in childhood or adolescence, w/o CC",19.0,swe
615A,"Eating disorders, w CC","Eating disorders, w CC",19.0,swe
615B,"Eating disorders, w/o CC","Eating disorders, w/o CC",19.0,swe
615C,"Visits for eating disorders, w CC, short therapy","Visits for eating disorders, w CC, short therapy",19.0,swe
615D,"Visits for eating disorders, w/o CC, short therapy","Visits for eating disorders, w/o CC, short therapy",19.0,swe
616A,"Other specified psychiatric problems, w CC","Other specified psychiatric problems, w CC",19.0,swe
616B,"Other specified psychiatric problems, w/o CC","Other specified psychiatric problems, w/o CC",19.0,swe
616C,"Visits for other specified psychiatric problems, w CC, short therapy","Visits for other specified psychiatric problems, w CC, short therapy",19.0,swe
616D,"Visits for other specified psychiatric problems, w/o CC, short therapy","Visits for other specified psychiatric problems, w/o CC, short therapy",19.0,swe
617A,"Unspecified psychiatric problems, w CC","Unspecified psychiatric problems, w CC",19.0,swe
617B,"Unspecified psychiatric problems, w/o CC","Unspecified psychiatric problems, w/o CC",19.0,swe
618A,"Psychiatric care 29-90 days, w MCC","Psychiatric care 29-90 days, w MCC",19.0,swe
618B,"Psychiatric care 29-90 days, w CC","Psychiatric care 29-90 days, w CC",19.0,swe
618C,"Psychiatric care 29-90 days, w/o CC","Psychiatric care 29-90 days, w/o CC",19.0,swe
618D,"Psychiatric care >90 days, w MCC","Psychiatric care >90 days, w MCC",19.0,swe
618E,"Psychiatric care >90 days, w CC","Psychiatric care >90 days, w CC",19.0,swe
618F,"Psychiatric care >90 days, w/o CC","Psychiatric care >90 days, w/o CC",19.0,swe
619A,"Abuse or dependency of alcohol/drugs with psychosis or personality disorder, w CC","Abuse or dependency of alcohol/drugs with psychosis or personality disorder, w CC",19.0,swe
619B,"Abuse or dependency of alcohol/drugs with psychosis or personality disorder, w/o CC","Abuse or dependency of alcohol/drugs with psychosis or personality disorder, w/o CC",19.0,swe
619C,"Visits for abuse or dependency of alcohol/drugs with psychosis or personality disorder, w CC, short therapy","Visits for abuse or dependency of alcohol/drugs with psychosis or personality disorder, w CC, short therapy",19.0,swe
619D,"Visits for abuse or dependency of alcohol/drugs with psychosis or personality disorder, w/o CC, short therapy","Visits for abuse or dependency of alcohol/drugs with psychosis or personality disorder, w/o CC, short therapy",19.0,swe
620A,"Abuse or dependency of alcohol/drugs without psychosis, w CC","Abuse or dependency of alcohol/drugs without psychosis, w CC",19.0,swe
620B,"Visits for abuse or dependency of alcohol/drugs without psychosis, w CC, short therapy","Visits for abuse or dependency of alcohol/drugs without psychosis, w CC, short therapy",19.0,swe
620C,"Abuse or dependency of alcohol/drugs without psychosis, w/o CC","Abuse or dependency of alcohol/drugs without psychosis, w/o CC",19.0,swe
621A,"Home visits for psychological/behavioural disorders and alcohol/drug abuse, w CC, short therapy","Home visits for psychological/behavioural disorders and alcohol/drug abuse, w CC, short therapy",19.0,swe
621B,"Home visits for psychological/behavioural disorders and alcohol/drug abuse, w/o CC, short therapy","Home visits for psychological/behavioural disorders and alcohol/drug abuse, w/o CC, short therapy",19.0,swe
621C,"Other visits for psychological disorders and drug abuse, w CC, short therapy","Other visits for psychological disorders and drug abuse, w CC, short therapy",19.0,swe
621D,"Other visits for psychological disorders and drug abuse, w/o CC, short therapy","Other visits for psychological disorders and drug abuse, w/o CC, short therapy",19.0,swe
701O,"Endoscopy of upper respiratory tract, short therapy","Endoscopy of upper respiratory tract, short therapy",3.0,est/swe/lat/ice/fin/nor
702O,"Endoscopy of lower respiratory tract, short therapy","Endoscopy of lower respiratory tract, short therapy",3.0,est/swe/lat/ice/fin/nor
703O,"Endoscopic insertion of stent to gastrointestinal tract, short therapy","Endoscopic insertion of stent to gastrointestinal tract, short therapy",6.0,est/swe/lat/ice/fin/nor
704O,"Therapeutic enteroscopy, short therapy","Therapeutic enteroscopy, short therapy",6.0,est/swe/lat/ice/fin/nor
706O,"Therapeutic endoscopy of upper gastrointestinal tract, short therapy","Therapeutic endoscopy of upper gastrointestinal tract, short",7.0,est/swe/lat/ice/fin/nor
707O,"Therapeutic rectoscopy, short therapy","Therapeutic rectoscopy, short therapy",6.0,est/swe/lat/ice/fin/nor
707P,"Sclerotherapy/ligature of haemorrhoids, short therapy","Sclerotherapy/ligature of haemorrhoids, short therapy",6.0,est/swe/lat/ice/fin/nor
709O,"Enteroscopy, short therapy","Enteroscopy, short therapy",6.0,est/swe/lat/ice/fin/nor
710O,"Colonoscopy, short therapy","Colonoscopy, short therapy",6.0,est/lat/ice/nor
710P,"Colonoscopy, w CC, short therapy","Colonoscopy, w CC, short therapy",6.0,fin/swe
710Q,"Colonoscopy, w/o CC, short therapy","Colonoscopy, w/o CC, short therapy",6.0,fin/swe
711O,"Endoscopy of upper gastrointestinal tract, short therapy","Endoscopy of upper gastrointestinal tract, short therapy",3.0,est/lat/ice/nor
711P,"Endoscopy of upper gastrointestinal tract, w CC, short therapy","Endoscopy of upper gastrointestinal tract, w CC, short therapy",6.0,fin/swe
711Q,"Endoscopy of upper gastrointestinal tract, w/o CC, short therapy","Endoscopy of upper gastrointestinal tract, w/o CC, short therapy",6.0,fin/swe
712O,"Rectosigmoideoscopy, short therapy","Rectosigmoideoscopy, short therapy",6.0,est/swe/lat/ice/fin/nor
713O,"Endoscopic insertion of stent to biliary tract, short therapy","Endoscopic insertion of stent to biliary tract, short therap",7.0,est/swe/lat/ice/fin/nor
714O,"Therapeutic endoscopy of biliary tract, short therapy","Therapeutic endoscopy of biliary tract, short therapy",7.0,est/swe/lat/ice/fin/nor
715O,"Endoscopy of biliary tract, short therapy","Endoscopy of biliary tract, short therapy",7.0,est/swe/lat/ice/fin/nor
716O,"Therapeutic endoscopy of urinary tract, short therapy","Therapeutic endoscopy of urinary tract, short therapy",11.0,est/swe/lat/ice/fin/nor
717O,"Endoscopy of upper urinary tract, short therapy","Endoscopy of upper urinary tract, short therapy",11.0,est/swe/lat/ice/fin/nor
718O,"Endoscopy of lower urinary tract, short therapy","Endoscopy of lower urinary tract, short therapy",13.0,est/swe/lat/ice/fin/nor
719O,"Endoscopy of female genital tract, short therapy","Endoscopy of female genital tract, short therapy",13.0,est/swe/lat/ice/fin/nor
720O,"Combined gastrointestinal endoscopy, short therapy","Combined gastrointestinal endoscopy, short therapy",6.0,est/lat/ice/nor
720P,"Combined gastrointestinal endoscopy, w CC, short therapy","Combined gastrointestinal endoscopy, w CC, short therapy",6.0,fin/swe
720Q,"Combined gastrointestinal endoscopy, w/o CC, short therapy","Combined gastrointestinal endoscopy, w/o CC, short therapy",6.0,fin/swe
750V,"CNS catheter procedure, short therapy","CNS catheter procedure, short therapy",1.0,swe
751V,"Blockade of nerve for pain, short therapy ","Blockade of nerve for pain, short therapy ",1.0,swe
751W,"Demanding blockade of nerve for pain, short therapy        ","Demanding blockade of nerve for pain, short therapy        ",1.0,swe
753V,"Direct CNS medication, short therapy","Direct CNS medication, short therapy",1.0,swe
754V,"Lumbal puncture, short therapy","Lumbal puncture, short therapy",1.0,swe
755V,"EEG, short therapy","EEG, short therapy",1.0,swe
756V,"EMG or ENG, short therapy","EMG or ENG, short therapy",1.0,swe
757V,"Adjustment of implanted CNS stimulator or shunt, short therapy","Adjustment of implanted CNS stimulator or shunt, short thera",1.0,swe
758P,"Other doctor visits for diseases in the nervous system, w CC","Other doctor visits for diseases in the nervous system, w CC",1.0,swe
758Q,"Other doctor visits for diseases in the nervous system, w/o CC","Other doctor visits for diseases in the nervous system, w/o CC",1.0,swe
758T,"Doctor letters or telephone contacts for neurological diseases, primary care","Doctor letters or telephone contacts for neurological diseases, primary care",1.0,swe
758W,Team visits/conferences for diseases in the nervous system,Team visits/conferences for diseases in the nervous system,1.0,swe
759V,"Major diagnostic ophtalmologic test, short therapy","Major diagnostic ophtalmologic test, short therapy",2.0,swe
760V,"Medication to eye, short therapy","Medication to eye, short therapy",2.0,swe
761V,"Eye biopsy, short therapy","Eye biopsy, short therapy",2.0,swe
762V,"Therapeutic eye procedure, short therapy","Therapeutic eye procedure, short therapy",2.0,swe
762W,"Photodynamic therapy of macular degeneration, short therapy","Photodynamic therapy of macular degeneration, short therapy",2.0,swe
763V,"Other diagnostic ophtalmologic test, short therapy","Other diagnostic ophtalmologic test, short therapy",2.0,swe
764V,"Eye photography, short therapy","Eye photography, short therapy",2.0,swe
765T,Letters or telephone contacts for ophtalmological diseases,Letters or telephone contacts for ophtalmological diseases,2.0,swe
765V,"Other doctors visits for diseases in the eye region, short therapy","Other doctors visits for diseases in the eye region, short therapy",2.0,swe
765W,"Team visits/conferences for ophtalmological diseases, short therapy","Team visits/conferences for ophtalmological diseases, short therapy",2.0,swe
766V,"Major ear, nose and throat procedure, short therapy      ","Major ear, nose and throat procedure, short therapy      ",3.0,swe
767V,"Sleep apnoea examination, short therapy","Sleep apnoea examination, short therapy",3.0,swe
768V,"Examination of mouth and throat motor functions, short therapy","Examination of mouth and throat motor functions, short thera",3.0,swe
769V,"Ear, nose and mouth biopsy, short therapy","Ear, nose and mouth biopsy, short therapy",3.0,swe
770V,"Incisions and sutures for ear, nose and throat lesions, short therapy","Incisions and sutures for ear, nose and throat lesions, short therapy",3.0,swe
771V,"Other ear, nose and throat procedures, short therapy","Other ear, nose and throat procedures, short therapy",3.0,swe
772V,"Hearing improving intervention, short therapy","Hearing improving intervention, short therapy",3.0,swe
773V,"Major audiometry, short therapy","Major audiometry, short therapy",3.0,swe
774V,"Assisting procedure for cochlear implant, short therapy","Assisting procedure for cochlear implant, short therapy",3.0,swe
775V,"Minor audiometry, short therapy","Minor audiometry, short therapy",3.0,swe
776T,Doctor letters or telephone contacts for diseases in the ENT region,Doctor letters or telephone contacts for diseases in the ENT region,3.0,swe
776V,"Other doctor visits  for ear, nose and throat problems, short therapy","Other doctor visits  for ear, nose and throat problems, short therapy",3.0,swe
776W,"Team visits/conferences with team of care providers for diseases in the ENT region, short therapy","Team visits/conferences with team of care providers for diseases in the ENT region, short therapy",3.0,swe
778V,"Thorax puncture, short therapy","Thorax puncture, short therapy",4.0,swe
779V,"Minor lung function investigations, short therapy","Minor lung function investigations, short therapy",4.0,swe
780V,"Other respiratory system interventions, short therapy","Other respiratory system interventions, short therapy",4.0,swe
781T,Doctor letters or telephone contacts for respiratory diseases,Doctor letters or telephone contacts for respiratory diseases,4.0,swe
