drg_nat,drg_text_nat,drg_text_short_nat,drg_comb,drg_text_comb,drg_text_short_comb,mdc,country
397,Koagulasjonsforstyrrelser,Coagulation disorders,397X,Coagulation disorders,Coagulation disorders,16,nor
398,Retikuloendoteliale & immunologiske sykd ITAD m/bk,Reticuloendothelial & immunity disorders,398X,Reticuloendothelial & immunity disorders w cc,Reticuloendothelial & immunity disorders w cc,16,nor
399,Retikuloendoteliale & immunologiske sykd ITAD u/bk,Reticuloendothelial & immunity disorders,399X,"Reticuloendothelial & immunity disorders, w/o CC","Reticuloendothelial & immunity disorders, w/o CC",16,nor
39P,"Bilaterale operasjoner på linsen, dagkirurgisk behandling","Bilateral lens procedures, short therapy",039FP,"Bilateral lens procedures, short therapy","Bilateral lens procedures, short therapy",2,nor
39Q,"Unilaterale operasjoner på linsen, dagkirurgisk behandling","Unilaterale operasjoner på linsen, dagkirurgisk behandling",039Q,"Unilateral lens procedures with or without vitrectomy, short therapy","Unilateral lens procedures with or without vitrectomy, short therapy",2,nor
3N,Stereotaktisk intrakraniell strålebehandling,Stereotactic intracranial radiotherapy,003N,Stereotactic intracranial radiotherapy,Stereotactic intracranial radiotherapy,1,nor
3O,"Kraniotomi, dagkirurgisk behandling","Craniotomy, short therapy",003O,"Craniotomy, short therapy","Craniotomy, short therapy",1,nor
3P,"Stereotaktisk intrakraniell strålebehandling, dagmedisinsk behandling","Stereotaktisk intrakraniell strålebehandl, dagmed behandl",003P,"Stereotactic intracranial radiotherapy, short therapy","Stereotactic intracranial radiotherapy, short therapy",1,nor
4,Op på kolumna/spinalkanal/ryggmarg/nerverøtter,Spinal procedures,004X,Spinal procedures,Spinal procedures,1,nor
40,Op på cornea/sklera/ekstraokulære strukturer,,040X,Extraocular procedures except orbit,Extraocular procedures except orbit,2,nor
400,Større operasjoner ved lymfom & leukemi,Lymphoma & leukemia w major o. r. procedu,400X,Lymphoma & leukemia w major o. r. procedure,Lymphoma & leukemia w major o. r. procedure,17,nor
401,Op ved lymfom & ikke-akutt leukemi ITAD m/bk,Lymphoma & non-acute leukemia w other o.,401X,"Lymphoma & non-acute leukemia with other OR procedure, w CC","Lymphoma & non-acute leukemia with other OR procedure, w CC",17,nor
402,Op ved lymfom & ikke-akutt leukemi ITAD u/bk,Lymphoma & non-acute leukemia w other o.,402X,"Lymphoma & non-acute leukemia with other OR procedure, w/o CC","Lymphoma & non-acute leukemia with other OR procedure, w/o CC",17,nor
402O,"Op ved lymfom & ikke-akutt leukemi ITAD, dagkirurgisk behandling",Lymphoma & non-acute leukemia w other o.,402O,"Lymphoma & non-acute leukemia with OR procedures, short therapy","Lymphoma & non-acute leukemia with OR procedures, short therapy",17,nor
403,Lymfom & ikke-akutt leukemi m/bk,Lymphoma & non-acute leukemia w cc,403X,Lymphoma & non-acute leukemia w cc,Lymphoma & non-acute leukemia w cc,17,nor
404,Lymfom & ikke-akutt leukemi u/bk,Lymphoma & non-acute leukemia w/o cc,404X,Lymphoma & non-acute leukemia w/o cc,Lymphoma & non-acute leukemia w/o cc,17,nor
405,Akutt leukemi 0-17 år,Acute leukemia w/o major o. r. procedure,405X,Acute leukemia w/o major o. r. procedure age 0-17,Acute leukemia w/o major o. r. procedure age 0-17,17,nor
406,Større op ved sykdommer i HDG 17 ekskl lymfom & leukemi m/bk,Myeloprolif disord or poorly diff neopl w,406X,Myeloprolif disord or poorly diff neopl w major o. r. procedures and w cc,Myeloprolif disord or poorly diff neopl w major o. r. proced,17,nor
407,Større op ved sykdommer i HDG 17 ekskl lymfom & leukemi u/bk,Myeloprolif disord or poorly diff neopl w,407X,Myeloprolif disord or poorly diff neopl w major o. r. proc but w/o cc,Myeloprolif disord or poorly diff neopl w major o. r. proc b,17,nor
407O,"Større op ved sykdommer i HDG 17 ekskl lymfom & leukemi, dagkirurgisk behandling",Myeloprolif disord or poorly diff neopl w,407O,"Myeloproliferative diseases and unspecified neoplasms with major OR procedure, short therapy     ","Myeloproliferative diseases and unspecified neoplasms with major OR procedure, short therapy     ",17,nor
408,Andre op ved sykdommer i HDG 17 ekskl lymfom & leukemi,Myeloprolif disord or poorly diff neopl w,408X,Myeloprolif disord or poorly diff neopl w other o. r. proc,Myeloprolif disord or poorly diff neopl w other o. r. proc,17,nor
408O,"Op ved myeloprolif sykd eller udiff ondartet sykdom, dagkirurgisk behandling",Myeloprolif disord or poorly diff neopl w,408O,"Myeloproliferative diseases and unspecified neoplasms with other OR procedure in general anaesthesia, short therapy   ","Myeloproliferative diseases and unspecified neoplasms with other OR procedure in general anaesthesia, short therapy   ",17,nor
410X,"Medikamentell kreftbehandling av innlagte pasienter, inntil 2 overnattinger",Medikamentell kreftbehandling av innlagte pasienter,410X,Chemotherapy w/o acute leukemia as secondary diagnosis,Chemotherapy w/o acute leukemia as secondary diagnosis,40,nor
411N,Observasjon eller behandling knyttet til tidligere eller mistenkt kreftsykdom,History of malignancy,411N,"History of malignancy without endoscopy, w/o CC           ","History of malignancy without endoscopy, w/o CC           ",17,nor
413,Sykdommer i HDG 17 ITAD m/bk,Other myeloprolif dis of poolrly diff neo,413X,Other myeloprolif dis of poorly diff neopl diag w cc,Other myeloprolif dis of poorly diff neopl diag w cc,17,nor
414,Sykdommer i HDG 17 ITAD u/bk,Other myeloprolif dis of poolrly diff neo,414X,"Myeloproliferative diseases and unspecified neoplasms, w/o CC    ","Myeloproliferative diseases and unspecified neoplasms, w/o CC    ",17,nor
415,Op ved sykdommer i HDG 18,Procedure for infectious & parasitic dise,415X,Procedure for infectious & parasitic diseases,Procedure for infectious & parasitic diseases,18,nor
415O,"Op ved sykdommer i HDG 18, dagkirurgisk behandling","Op ved sykdommer i HDG 18, dagkirurgisk behandling",415O,"Procedures for infectious & parasitic diseases, short therapy","Procedures for infectious & parasitic diseases, short therapy",18,nor
416N,Sepsis ved sydommer i HDG 18 >17 år,Sepsis ved sydommer i HDG 18 >17 år,416N,"Septicemia, age > 17, w/o CC","Septicemia, age > 17, w/o CC",18,nor
417N,Sepsis ved sydommer i HDG 18 0-17 år,Sepsis ved sydommer i HDG 18 0-17 år,417N,"Septicemia, age  0-17, w/o CC","Septicemia, age  0-17, w/o CC",18,nor
418,Postop & posttraumatiske infeksjoner tilhørende HDG 18,Postoperative & post-traumatic infections,418X,Postoperative & post-traumatic infections,Postoperative & post-traumatic infections,18,nor
419,Feber av ukjent årsak >17 år m/bk,Fever of unknown origin age > 17 w cc,419X,Fever of unknown origin age > 17 w cc,Fever of unknown origin age > 17 w cc,18,nor
41O,"Op på cornea/sklera/ekstraokulære strukturer, dagkirurgisk behandling","Oth interv for probl eye region, sh th",041O,"Extraocular procedures except orbit, short therapy","Extraocular procedures except orbit, short therapy",2,nor
41P,"Operasjoner for skjeling, dagkirurgisk behandling","Operasjoner for skjeling, dagkirurgisk behandling",041P,"Strabismus surgery, short therapy","Strabismus surgery, short therapy",2,nor
42,"Intraokulære operasjoner på regnbuehinne, på glasslegeme og for glaukom",Intraocular procedures except retina iris,042X,Intraocular procedures except retina and lens,Intraocular procedures except retina and lens,2,nor
420,Feber av ukjent årsak >17 år u/bk,Fever of unknown origin age > 17 w/o cc,420X,Fever of unknown origin age > 17 w/o cc,Fever of unknown origin age > 17 w/o cc,18,nor
421,Virussykdommer >17 år,"Viral illness, age >17",421X,"Viral illness, age >17","Viral illness, age >17",18,nor
422,Virussykdommer og feber av ukjent årsak 0-17 år,Viral illness & fever of unknown origin a,422X,Viral illness & fever of unknown origin age 0-17,Viral illness & fever of unknown origin age 0-17,18,nor
423,Sykdommer i HDG 18 ITAD,Other infectious & parasitic diseases dia,423X,Other infectious & parasitic diseases diagnoses,Other infectious & parasitic diseases diagnoses,18,nor
424N,Operasjoner på pasienter med sykdom i HDG19,Operasjoner på pasienter med sykdom i HDG19,424N,OR procedures with principal diagnos of mental illness or abuse,OR procedures with principal diagnos of mental illness or abuse,19,nor
424O,"Operasjoner på pasienter med sykdom i HDG19, dagkirurgisk behandling","Operasjoner på pasienter med sykdom i HDG19, dagkirurgisk be",424O,"O. r. procedure w principal diagnosis of mental illness, short therapy","O. r. procedure w principal dx of mental illness, sh th",19,nor
426A,Bipolare lidelser <60 år,"Rehabilitering, kompleks",426A,"Bipolar disorders, age <60 yrs","Bipolar disorders, age <60 yrs",19,nor
426B,Bipolare lidelser >59 år,"Rehabilitering, vanlig",426B,"Bipolar disorders, age >59 yrs","Bipolar disorders, age >59 yrs",19,nor
426C,Andre forstyrrelser i stemningsleie <60 år,Andre forstyrrelser i stemningsleie < 60,426C,"Other mood disorders, age <60 yrs","Other mood disorders, age <60 yrs",19,nor
426D,Andre forstyrrelser i stemningsleie >59 år,Andre forstyrrelser i stemningsleie > 59,426D,"Other mood disorders, age >59 yrs","Other mood disorders, age >59 yrs",19,nor
427A,Angstlidelse,Angstlidelse,427A,Anxiety disorders,Anxiety disorders,19,nor
427B,Varige personlighetsforstyrrelser,Varige personlighetsforstyrrelser,427B,Enduring personality changes,Enduring personality changes,19,nor
427C,Akutt stressreaksjon,Akutt stressreaksjon,427C,Acute stress reaction,Acute stress reaction,19,nor
427D,Andre nevroser,Andre nevroser,427D,Other neuroses,Other neuroses,19,nor
428N,Personlighetsforstyrrelser,Personlighetsforstyrrelser,428N,Disorders of personality,Disorders of personality,19,nor
429A,Organiske betingede mentale forstyrrelser m/bk,Organiske betingede mentale forstyrrelser m/bk,429A,Organic disturbances w cc,Organic disturbances w cc,19,nor
429B,Organiske betingede mentale forstyrrelser u/bk,Organiske betingede mentale forstyrrelser u/bk,429B,Organic disturbances w/o cc,Organic disturbances w/o cc,19,nor
42P,"Andre intraokulære prosedyrer, dagkirurgi",,042P,"Other intraocular procedures except on retina and lens, short therapy","Other intraocular procedures except on retina and lens, short therapy",2,nor
43,"Hyphema, kontusjonsskader i øyeregionen",Hyphema,043X,Injury in the eye region ,Injury in the eye region ,2,nor
430A,Schizofreni <30 år,Schizofreni <30 år,430A,"Schizophrenia, age < 30 yrs","Schizophrenia, age < 30 yrs",19,nor
430B,Schizofreni 30-59 år,Schizofreni 30-59 år,430B,"Schizophrenia, age  30-59 yrs","Schizophrenia, age  30-59 yrs",19,nor
430C,Schizofreni >59 år,Schizofreni >59 år,430C,"Schizophrenia, > 59 yrs","Schizophrenia, > 59 yrs",19,nor
430D,Kroniske ikke-schizofrene psykoser,Kroniske ikke-schizofrene psykoser,430D,Chronic non-schizophrenic psychosis,Chronic non-schizophrenic psychosis,19,nor
430E,Kortvarige ikke-schizofrene psykoser,Kortvarige ikke-schizofrene psykoser,430E,Short term non-scizophrenic psychosis,Short term non-scizophrenic psychosis,19,nor
430F,Andre psykoser,Andre psykoser,430F,Other psychotic syndromes,Other psychotic syndromes,19,nor
431A,Mental retardasjon,Mental retardasjon,431A,Mental retardation,Mental retardation,19,nor
431B,Nevropsykiatriske forstyrrelser,Nevropsykiatriske forstyrrelser,431B,Neuropsychiatric disorders,Neuropsychiatric disorders,19,nor
431C,Andre mentale forstyrrelser hos barn,Andre mentale forstyrrelser hos barn,431C,Other childhood mental disorders,Other childhood mental disorders,19,nor
432A,Spiseforstyrrelser,Spiseforstyrrelser,432A,Eating disorders,Eating disorders,19,nor
432B,Andre spesifiserte mentale forstyrrelser,Andre spesifiserte mentale forstyrrelser,432B,Other specific mental disorders,Other specific mental disorders,19,nor
432C,Andre uspesifiserte mentale forstyrrelser,Andre uspesifiserte mentale forstyrrelser,432C,Other unspecific mental disorders,Other unspecific mental disorders,19,nor
436A,Andre mentale forstyrrelser som skyldes misbruk m/bk,Andre mentale forstyrrelser som skyldes m,436A,Other abuse disorders with cc,Other abuse disorders with cc,19,nor
436B,Andre mentale forstyrrelser som skyldes misbruk u/bk,Andre mentale forstyrrelser som skyldes m,436B,Other abuse disorders w/o cc,Other abuse disorders w/o cc,19,nor
436C,Psykose som skyldes misbruk,Psykose som skyldes misbruk,436C,Abuse psychosis,Abuse psychosis,19,nor
439,Hudtransplantasjon etter skade,Skin grafts for injuries,439X,Skin grafts for injuries,Skin grafts for injuries,21,nor
439O,"Hudtransplantasjon etter skade, dagkirurgisk behandling","Hudtransplantasjon etter skade, dagkirurgisk behandling",439O,"Skin grafts for injuries, short therapy","Skin grafts for injuries, short therapy",21,nor
44,Alvorlige akutte øyeinfeksjoner,Acute major eye infections,044X,Acute major eye infections ,Acute major eye infections ,2,nor
441A,Håndkirurgiske inngrep etter skade,Håndkirurgiske inngrep etter skade,441NA,Other hand procedures for injuries,Other hand procedures for injuries,21,nor
441B,Store håndkirurgiske inngrep etter skade,Store håndkirurgiske inngrep etter skade,441NB,Replantation procedures for hand injury,Replantation procedures for hand injury,21,nor
441O,"Håndkirurgiske inngrep etter skade, dagkirurgisk behandling","Hand procedures for injuries, short therapy",441O,"Hand procedures for injuries, short therapy","Hand procedures for injuries, short therapy",21,nor
442,Operasjoner etter skade ITAD m/bk,Other o. r. procedures for injuries w cc,442X,Other o. r. procedures for injuries w cc,Other o. r. procedures for injuries w cc,21,nor
442O,"Større operasjoner for behandlingskomplikasjon, dagkirurgisk behandling","Større operasjoner for behandlingskomplikasjon, dagkirurgisk",442O,"Other major OR procedures  after injuries, short therapy","Other major OR procedures  after injuries, short therapy",21,nor
443,Operasjoner etter skade ITAD u/bk,Other o. r. procedures for injuries w/o c,443X,Other o. r. procedures for injuries w/o cc,Other o. r. procedures for injuries w/o cc,21,nor
443O,"Andre større op etter skader, dagkirurgisk behandling","Andre større op etter skader, dagkirurgisk behandling",443O,"Other major OR procedures in general anaesthesia for injuries,  short therapy","Other major OR procedures in general anaesthesia for injuries,  short therapy",21,nor
444,Traume >17 år m/bk,"Traumatic injury, age > 17 w cc",444X,"Traumatic injury, age > 17 w cc","Traumatic injury, age > 17 w cc",21,nor
445,Traume >17 år u/bk,"Traumatic injury, age > 17 w/o cc",445X,"Traumatic injury, age > 17 w/o cc","Traumatic injury, age > 17 w/o cc",21,nor
446,Traume 0-17 år,"Traumatic injury, age 0-17",446X,"Traumatic injury, age 0-17","Traumatic injury, age 0-17",21,nor
447,Allergiske reaksjoner >17 år,"Allergic reactions, age > 17",447X,"Allergic reactions, age > 17","Allergic reactions, age > 17",21,nor
448,Allergiske reaksjoner 0-17 år,"Allergic reactions, age 0-17",448X,"Allergic reactions, age 0-17","Allergic reactions, age 0-17",21,nor
449,Forgiftning inkludert toksisk effekt av legemiddel >17 m/bk,Forgiftning inkludert toksisk effekt av legemiddel >17 m/bk,449X,"Poisoning & toxic effects of drugs, age > 17 w cc","Poisoning & toxic effects of drugs, age > 17 w cc",21,nor
45,Nevrologiske øyesykdommer,Neurological eye disorders,045X,Neurological eye diseases,Neurological eye diseases,2,nor
450,Forgiftning inkludert toksisk effekt av legemiddel >17 u/bk,Forgiftning inkludert toksisk effekt av legemiddel >17 u/bk,450X,"Poisoning & toxic effects of drugs, age > 17 w/o cc","Poisoning & toxic effects of drugs, age > 17 w/o cc",21,nor
451,Forgiftning inkludert toksisk effekt av legemiddel 0-17 år,Forgiftning inkludert toksisk effekt av legemiddel 0-17 år,451X,"Poisoning & toxic effects of drugs, age 0-17","Poisoning & toxic effects of drugs, age 0-17",21,nor
452A,Komplikasjoner ved kirurgisk behandling m/bk,Complications of treatment w surgery w cc,452A,Complications of treatment w surgery w cc,Complications of treatment w surgery w cc,21,nor
452B,Komplikasjoner ved annen behandling m/bk,Complications of treatment w/o surgery w cc,452B,Complications of treatment w/o surgery w cc,Complications of treatment w/o surgery w cc,21,nor
453A,Komplikasjoner ved kirurgisk behandling u/bk,Complications of treatment w surgery w/o cc,453A,Complications of treatment w surgery w/o cc,Complications of treatment w surgery w/o cc,21,nor
453B,Komplikasjoner ved annen behandling u/bk,Complications of treatment w/o surgery w/o cc,453B,Complications of treatment w/o surgery w/o cc,Complications of treatment w/o surgery w/o cc,21,nor
454,Sykdommer i HDG 21 ITAD m/bk,"Other injury, poisoning & toxic effect di",454X,"Other injury, poisoning & toxic effect diag w cc","Other injury, poisoning & toxic effect diag w cc",21,nor
455,Sykdommer i HDG 21 ITAD u/bk,"Other injury, poisoning & toxic effect di",455X,"Other diseases after injuries, poisoningings & toxic effects,  w/o CC","Other diseases after injuries, poisoningings & toxic effects,  w/o CC",21,nor
456,"Forbrenninger, overført til annen akuttenhet, liggetid < 6 dager","Burns transf to another ac care fac, dur6 dager",456X,"Burns transferred to another acute care facility, duration of care < 6 days","Burns transferred to another acute care facility, duration of care < 6 days",22,nor
457,Omfattende forbrenninger uten operativ behandling,Extensive burns w/o o. r. procedure,457X,Extensive burns without OR procedure,Extensive burns without OR procedure,22,nor
458,Mindre omfattende forbrenninger med hudtransplantasjon,Non-extensive burns w skin graft,458X,Non-extensive burns with skin graft,Non-extensive burns with skin graft,22,nor
458O,"Mindre omfattende forbrenninger med hudtransplantasjon, dagkirurgisk behandling","Mindre omfattende forbrenninger med hudtransplantasjon, dagk",458O,"Non-extensive burns with skin graft, short therapy","Non-extensive burns with skin graft, short therapy",22,nor
459,Mindre omfattende forbrenninger med revisjon/annen operasjon,Mindre omfattende forbrenninger med revisjon/annen operasjon,459X,Non-extensive burns with wound debridement or other OR procedures,Non-extensive burns with wound debridement or other OR procedures,22,nor
459O,"Mindre omfattende forbrenninger med revisjon/annen op, dagkirurgisk behandling","Mindre omfattende forbrenninger med revisjon/annen op, dagki",459O,"Burns with wound debridement or other OR procedures, short therapy","Burns with wound debridement or other OR procedures, short therapy",22,nor
46,Øyesykdommer ITAD >17 år m/bk,"Other disorders of the eye, age > 17 w cc",046X,"Other disorders of the eye, age > 17 w cc","Other disorders of the eye, age > 17 w cc",2,nor
460,Mindre omfattende forbrenninger uten operativ behandling,Non-extensive burns w/o o. r. procedure,460X,Non-extensive burns without OR procedure,Non-extensive burns without OR procedure,22,nor
461,Operasjoner på pasienter m/diagnose i HDG 23,O. r. proc w diagnoses of other contact w,461X,O. r. proc w diagnoses of other contact w health services,O. r. proc w diagnoses of other contact w health services,23,nor
461O,"Operasjoner på pasienter m/diagnose i HDG 23, dagkirurgisk behandling","Operasjoner på pasienter m/diagnose i HDG 23, dagkirurgisk b",461O,"Other contacts with health services for other diagnoses, with OR procedures or general anaesthesia, short therapy","Other contacts with health services for other diagnoses, with OR procedures or general anaesthesia, short therapy",23,nor
462A,"Rehabilitering, kompleks","Rehabilitation, complex",462A,Complex rehabilitation,Complex rehabilitation,23,nor
462B,"Rehabilitering, vanlig","Rehabilitation, regular",462B,Usual rehabilitation,Usual rehabilitation,23,nor
462C,"Rehabilitering, annen","Rehabilitation, unspecified",462X,"Rehabilitation, unspecified","Rehabilitation, unspecified",23,nor
463,Symptomer og funn m/bk,Signs & symptoms w cc,463X,Signs & symptoms w cc,Signs & symptoms w cc,23,nor
464,Symptomer og funn u/bk,Signs & symptoms w/o cc,464X,"Signs & symptoms, w/o CC","Signs & symptoms, w/o CC",23,nor
465,Etterbehandling m/ondartet sykdom som bidiagnose,Aftercare w history of malignancy as seco,465X,Aftercare of malignant conditions,Aftercare of malignant conditions,23,nor
466,Etterbehandling u/ondartet sykdom som bidiagnose,Aftercare w/o history of malignancy as se,466X,Aftercare of other conditions,Aftercare of other conditions,23,nor
467,Påvirkninger på helsetilstanden ITAD,Other factors influencing health status,467X,Other factors influencing health status,Other factors influencing health status,23,nor
468,Større op uten sammenheng med hoveddiagnosen,Større op uten sammenheng med hoveddiagnosen,468X,Rare or incorrect combination of diagnosis and extensive procedure,extensive rare or wrong comb,99,nor
468O,"Større op uten sammenheng med hoveddiagnosen, dagkirurgisk behandling","Større op uten sammenheng med hoveddiagnosen, dagkirurgisk b",468O,"Rare or incorrect combination of diagnosis and procedure, short therapy","Rare or incorrect combination of diagnosis and procedure, short therapy",99,nor
47,Øyesykdommer ITAD >17 år u/bk,"Other disorders of the eye, age > 17 w/o",047X,"Other disorders of the eye, age > 17 w/o cc","Other disorders of the eye, age > 17 w/o cc",2,nor
470,Ikke grupperbar pga manglende opplysninger,Ungroupable,470G,Information about gender is missing,Information about gender is missing,99,nor
470,Ikke grupperbar pga manglende opplysninger,,470R,"Patient is too young for the diagnosis or intervention, visit","Patient is too young for the diagnosis or intervention, visit",99,nor
470,Ikke grupperbar pga manglende opplysninger,Ungroupable,470V,"Information about gender is missing, short therapy","Information about gender is missing, short therapy",99,nor
470,Ikke grupperbar pga manglende opplysninger,Ungroupable,470X,Principal diagnosis is missing,Principal diagnosis is missing,99,nor
470P,Umulig dagkirurgisk behandling,Ungroupable,470P,"Impossible or unspecified intervention, short therapy","Impossible or unspecified intervention, short therapy",99,nor
471N,Bilaterale eller flere store leddproteseoperasjoner i ekstremiteter,Bilaterale eller flere store leddproteseoperasjoner i ekstre,471N,Bilateral or multiple major joint procedures of extremities,Bilateral or multiple major joint procedures of extremities,8,nor
472,Omfattende forbrenninger med operativ behandling,Extensive burns w o. r. procedure,472X,Extensive burns with OR procedure,Extensive burns with OR procedure,22,nor
472O,"Omfattende forbrenninger med operativ behandling, dagkirurgisk behandling","Omfattende forbrenninger med operativ behandling, dagkirurgi",472O,"Extensive burns with OR procedure, short therapy","Extensive burns with OR procedure, short therapy",22,nor
473,Akutt leukemi  >17 år,Akutt leukemi  >17 år,473X,Acute leukemia w/o major o. r. procedure age > 17,Acute leukemia w/o major o. r. procedure age > 17,17,nor
475A,Sykdommer i åndedrettsorganer med ventilasjonsstøtte,Sykdommer i åndedrettsorganer med ventilasjonsstøtte,475A,Respiratory system diagnosis with respirator therapy,Respiratory system diagnosis with respirator therapy,4,nor
475B,Sykdommer i åndedrettsorganer med PEEP support,Sykdommer i åndedrettsorganer med PEEP support,475B,Respiratory system diagnosis with PEEP support,Respiratory system diagnosis with PEEP support,4,nor
475O,"Sykdommer i åndedrettsorganer med ventilasjonsstøtte, dagmedisinsk behandling","Sykdommer i åndedrettsorganer med ventilasjonsstøtte, dagmed",475O,"Respiratory system diagnosis with respirator therapy, short therapy ","Respiratory system diagnosis with respirator therapy, short therapy ",4,nor
477,Mindre op uten sammenheng med hoveddiagnosen,Other rare or wrong comb,477X,Rare or incorrect combination of diagnosis and other procedure,Other rare or wrong comb,99,nor
477O,"Mindre op uten sammenheng med hoveddiagnosen, dagkirurgisk behandling","Mindre op uten sammenheng med hoveddiagnosen, dagkirurgisk b",477O,"Other rare or incorrect combination of principal diagnosis and procedure, short therapy","Other rare or incorrect combination of principal diagnosis and procedure, short therapy",99,nor
478,Karkirurgisk operasjon ITAD m/bk,Other vascular procedures w cc,478X,Other vascular procedures w cc,Other vascular procedures w cc,5,nor
479,Karkirurgisk operasjon ITAD u/bk,Other vascular procedures w/o cc,479X,Other vascular procedures w/o cc,Other vascular procedures w/o cc,5,nor
479O,"Karkirurgisk operasjon ITAD, dagkirurgisk behandling","Karkirurgisk operasjon ITAD, dagkirurgisk behandling",479O,"Other vascular procedures, short therapy","Other vascular procedures, short therapy",5,nor
48,Øyesykdommer ITAD 0-17 år,"Other disorders of the eye, age 0-17",048X,"Other disorders of the eye, age 0-17","Other disorders of the eye, age 0-17",2,nor
480,Levertransplantasjon,Liver transplant,480X,Liver transplantation,Liver transplantation,7,nor
481A,Annen stamcelletransplantasjon,Annen stamcelletransplantasjon,481A,Other stem cell transfer,Other stem cell transfer,17,nor
481B,Allogen stamcelletransplantasjon >17 år,Allogen stamcelletransplantasjon >17 år,481B,"Allogenic stem cell transfer, age >18","Allogenic stem cell transfer, age >18",17,nor
481C,Allogen stamcelletransplantasjon 0-17 år,Allogen stamcelletransplantasjon 0-17 år,481C,"Other stem cell transfer, w CC","Other stem cell transfer, w CC",17,nor
481O,"Annen stamcelletransplantasjon, dagkirurgisk behandling","Bone marrow transplant, short therapy",481O,"Other stem cell transfer, short therapy","Other stem cell transfer, short therapy",17,nor
481P,"Allogen stamcelletransplantasjon, dagkirurgisk behandling","Allogenic stem cell transfer, short therapy",481P,"Allogenic stem cell transfer, short therapy","Allogenic stem cell transfer, short therapy",17,nor
482,"Tracheostomi eller vevstransplantasjon ved sykdommer i ansikt, munnhule eller hals",Tracheostomi eller vevstransplantasjon ved sykdommer i ansik,482X,"Tracheostomy for face, mouth & neck diagnoses","Tracheostomy for face, mouth & neck diagnoses",3,nor
483,"Tracheostomi ekskl for sykd i ansikt, munnhule eller hals","Tracheostomi ekskl for sykd i ansikt, munnhule eller hals",483X,"Tracheostomy except for face, mouth & neck diagnoses","Tracheostomy except for face, mouth & neck diagnoses",40,nor
483B,Invasiv sirkulasjonsstøtte,Intensiv sirkulasjonsstøtte,483B,Intensive circulatory support without heart- or lung transplantation,Intensive circulatory support without heart- or lung transplantation,40,nor
484,Kraniotomi ved signifikant multitraume,Craniotomy for multiple significant traum,484X,Craniotomy for multiple significant trauma,Craniotomy for multiple significant trauma,21,nor
485,Større op hofte/lårbensop & replantasjoner ved HDG 21,"Limb reattachment, hip and femur proc for",485X,"Limb reattachment, hip and femur procedures for multiple significant trauma","Limb reattachment, hip and femur procedures for multiple significant trauma",21,nor
486,Større operasjoner ved signifikant multitraume,Større operasjoner ved signifikant multitraume,486X,Extensive OR procedures for multiple significant trauma,Extensive OR procedures for multiple significant trauma,21,nor
486O,"Operasjoner ved signifikant multitraume ITAD, dagkirurgisk behandling","Operasjoner ved signifikant multitraume ITAD, dagkirurgisk b",486O,"Reimplantation and other OR procedures for multiple significant trauma, short therapy","Reimplantation and other OR procedures for multiple significant trauma, short therapy",21,nor
487,Signifikant multitraume ITAD,Other multiple significant trauma,487X,Other treatment for multiple significant trauma,Other treatment for multiple significant trauma,21,nor
489,HIV m/ betydelig HIV relatert sykdom,HIV w major related condition,489X,HIV w major related condition,HIV w major related condition,18,nor
490,HIV med eller uten bidiagnose,HIV w or w/o other related condition,490X,HIV w or w/o other related condition,HIV w or w/o other related condition,18,nor
491,Proteseop & replantasjon i skulder/albue/håndledd,Major joint & limb reattachment procedure,491X,Major joint & limb reattachment procedures of upper extremitates,Major joint & limb reattachment procedures of upper extremie,8,nor
491O,"Proteseop og replantasjon i skulder/albue/håndledd, dagkirurgisk behandling","Proteseop og replantasjon i skulder/albue/håndledd, dagkirur",491O,"Major joint & limb reattachment procedures of upper extremities, short therapy","Major joint & limb reattachment procedures of upper extremities, short therapy",8,nor
493,Endoskopisk eller laparoskopisk kolecystektomi u/ eksplor av gallegang m/bk,Endoskopisk eller laparoskopisk kolecystektomi u/eksplor m/bk,493X,Endoscopic or laparoscopic operation on gallblader with cc,Endoscopic or laparoscopic operation on gallblader with cc,7,nor
494,Endoskopisk eller laparoskopisk kolecystektomi u/ eksplor av gallegang u/bk,Endoskopisk eller laparoskopisk kolecystektomi u/eksplor u/bk,494X,"Endoscopic or laparoscopic procedures on biliary tract, w/o CC","Endoscopic or laparoscopic procedures on biliary tract, w/o CC",7,nor
494O,"Endoskopisk eller laparoskopisk kolecystektomi u/ eksplor av gallegang, dagkirurgisk behandling","Endoskopisk eller laparoskopisk kolecystektomi u/eksplor, dagkir",494O,"Endoscopic or laparoscopic procedures on biliary tract, short therapy","Endoscopic or laparoscopic procedures on biliary tract, short therapy",7,nor
495,Lungetransplantasjon,Lung transplant,495X,Lung transplantation,Lung transplantation,4,nor
49A,Større operasjoner på ØNH ekskl cochleaimplantat,Other major operations on head and neck,049A,Other major operations on head and neck,Other major operations on head and neck,3,nor
49B,Cochleaimplantat,Insertion of cochlear implant,049B,Insertion of cochlear implant,Insertion of cochlear implant,3,nor
4O,"Op på kolumna/spinalkanal/ryggmarg/nerverøtter, dagkirurgisk behandling","Op på kolumna/spinalkanal/ryggmarg/nerverøtter, dagkirurgisk",004O,"Spinal procedures, short therapy","Spinal procedures, short therapy",1,nor
5,Operasjoner på ekstrakranielle kar,Extracranial vascular procedures,005X,Extracranial vascular procedures,Extracranial vascular procedures,1,nor
