ord,id,drg_nat,drg_text_nat,drg_comb,rtc,icd,mdc,dgcat,pdgprop,compl,or_proc,procpro,secpro,dgprop1,dgprop2,dgprop3,dgprop4,agelim,sex,dur,disch,nat_ver
32100071400,121D007140,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,21.0,,,,N,21D31,,,,,,,,<2,N,fin
32100071600,121D007160,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,21.0,,,,N,21D41,,,,,,,,<2,N,fin
32100099600,121D009960,921O,"Vamma tai myrkytys, lyhyt hoito ilman merkittävää toimenpidettä",921O,0,+,21.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
32100099750,121D0099601,921O,"Vamma tai myrkytys, lyhyt hoito ilman merkittävää toimenpidettä",921O,0,+,24.0,,,,Z,,,,,,,,,<2,N,fin
32100099900,121D009990,821O,"Vamma tai komplikaatio, pientoimenpide",821O,0,+,21.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
32150155000,121D0099901,821O,"Vamma tai komplikaatio, pientoimenpide",821O,0,+,24.0,,,,N,,,,,,,,,<2,N,fin
32200210102,122D0210102,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X01,,,,,,<2,N,fin
32200210112,122D0210112,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X01,00X10,,,,,<2,N,fin
32200210202,122D0210202,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X02,22X10,,,,,<2,N,fin
32200210212,122D0210212,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X02,22X10,00X10,,,,<2,N,fin
32200210302,122D0210302,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X02,22X03,,,,,<2,N,fin
32200210312,122D0210312,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X02,22X03,00X10,,,,<2,N,fin
32200210402,122D0210402,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X02,22X04,,,,,<2,N,fin
32200210412,122D0210412,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X02,22X04,00X10,,,,<2,N,fin
32200210502,122D0210502,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X02,22X05,,,,,<2,N,fin
32200210512,122D0210512,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X02,22X05,00X10,,,,<2,N,fin
32200210602,122D0210602,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X03,22X10,,,,,<2,N,fin
32200210612,122D0210612,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X03,22X10,00X10,,,,<2,N,fin
32200210702,122D0210702,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X03,22X04,,,,,<2,N,fin
32200210712,122D0210712,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X03,22X04,00X10,,,,<2,N,fin
32200210802,122D0210802,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X03,22X05,,,,,<2,N,fin
32200210812,122D0210812,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X03,22X05,00X10,,,,<2,N,fin
32200210902,122D0210902,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X04,22X10,,,,,<2,N,fin
32200210912,122D0210912,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X04,22X10,00X10,,,,<2,N,fin
32200211002,122D0211002,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X04,22X05,,,,,<2,N,fin
32200211012,122D0211012,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X04,22X05,00X10,,,,<2,N,fin
32200211102,122D0211102,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S01,,22X05,22X10,,,,,<2,N,fin
32200211112,122D0211112,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S01,,22X05,22X10,00X10,,,,<2,N,fin
32200220102,122D0220102,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X01,,,,,,<2,N,fin
32200220112,122D0220112,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X01,00X10,,,,,<2,N,fin
32200220202,122D0220202,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X02,22X10,,,,,<2,N,fin
32200220212,122D0220212,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X02,22X10,00X10,,,,<2,N,fin
32200220302,122D0220302,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X02,22X03,,,,,<2,N,fin
32200220312,122D0220312,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X02,22X03,00X10,,,,<2,N,fin
32200220402,122D0220402,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X02,22X04,,,,,<2,N,fin
32200220412,122D0220412,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X02,22X04,00X10,,,,<2,N,fin
32200220502,122D0220502,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X02,22X05,,,,,<2,N,fin
32200220512,122D0220512,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X02,22X05,00X10,,,,<2,N,fin
32200220602,122D0220602,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X03,22X10,,,,,<2,N,fin
32200220612,122D0220612,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X03,22X10,00X10,,,,<2,N,fin
32200220702,122D0220702,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X03,22X04,,,,,<2,N,fin
32200220712,122D0220712,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X03,22X04,00X10,,,,<2,N,fin
32200220802,122D0220802,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X03,22X05,,,,,<2,N,fin
32200220812,122D0220812,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X03,22X05,00X10,,,,<2,N,fin
32200220902,122D0220902,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X04,22X10,,,,,<2,N,fin
32200220912,122D0220912,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X04,22X10,00X10,,,,<2,N,fin
32200221002,122D0221002,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X04,22X05,,,,,<2,N,fin
32200221012,122D0221012,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X04,22X05,00X10,,,,<2,N,fin
32200221102,122D0221102,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,22X05,22X10,,,,,<2,N,fin
32200221112,122D0221112,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,22X05,22X10,00X10,,,,<2,N,fin
32200250000,122D025000,458O,"Palovamma, suppea, ihonsiirto, lyhyt hoito",458O,0,+,22.0,,,,S,22S01,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32200250010,122D025001,458O,"Palovamma, suppea, ihonsiirto, lyhyt hoito",458O,0,+,22.0,,,,,22S01,,00X10,,,,,,<2,N,den/est/fin/ice/lat
32200251000,122D025100,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,S,22S02,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32200251010,122D025101,459O,"Palovamma, haavan hoito tai muu leikkaussalitoimenpide, lyhyt hoitojakso",459O,0,+,22.0,,,,,22S02,,00X10,,,,,,<2,N,den/est/fin/ice/lat
32200252000,122D025200,703O,Stentin asennus ruoansulatuskanvaan tähystyksessä,703O,0,+,22.0,,,,P,22E03,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32200252100,122D025210,706O,Ruuansulatuskanavan yläosan tähystystoimenpide,706O,0,+,22.0,,,,P,22E06,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32200252125,122D025218,711P,"Ruoansulatuskanavan yläosan tähystys, anestesia",711P,0,+,22.0,,,,P,22E11,,00X10,,,,,,<2,N,fin
32200252150,122D025219,711Q,Ruoansulatuskanavan yläosan tähystys ilman anestesiaa,711Q,0,+,22.0,,,,P,22E11,,,,,,,,<2,N,fin
32200270000,122D027000,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,22.0,,,,N,01D02,,,,,,,,<2,N,fin
32200270200,122D027020,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,22.0,,,,N,05D22,,,,,,,,<2,N,fin
32200270400,122D027040,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,22.0,,,,N,05D62,,,,,,,,<2,N,fin
32200270600,122D027060,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,22.0,,,,N,05D64,,,,,,,,<2,N,fin
32200270800,122D027080,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,22.0,,,,N,06D32,,,,,,,,<2,N,fin
32200271000,122D027100,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,22.0,,,,N,08D42,,,,,,,,<2,N,fin
32200272000,122D027200,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,22.0,,,,N,01D01,,,,,,,,<2,N,fin
32200272200,122D027220,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,22.0,,,,N,05D21,,,,,,,,<2,N,fin
32200272400,122D027240,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,22.0,,,,N,06D31,,,,,,,,<2,N,fin
32200272600,122D027260,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,22.0,,,,N,08D41,,,,,,,,<2,N,fin
32200272800,122D027280,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,22.0,,,,N,10D11,,,,,,,,<2,N,fin
32200299700,122D029970,922N,"Siteenvaihto, laaja palovamma, lyhyt hoito",822P,0,+,22.0,,,,,22S03,,,,,,,,<2,N,fin
32200299710,122D029971,922N,"Siteenvaihto, laaja palovamma, lyhyt hoito",822P,0,+,22.0,,,,,22S04,,22X01,,,,,,<2,N,fin
32200299800,122D029980,922O,"Palovamma, lyhyt hoito ilman merkittävää toimenpidettä",922O,0,+,22.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
32200299900,122D029990,822O,"Palovamman hoito, pientoimenpide, lyhyt hoitojakso",822O,0,+,22.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
32300001000,123D000100,461O,"Muuhun terveyspalvelujen käyttöön liittyvä leikkaus, lyhyt hoito",461O,0,+,23.0,,,,S,,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32300001100,123D000110,461O,"Muuhun terveyspalvelujen käyttöön liittyvä leikkaus, lyhyt hoito",461O,0,+,23.0,,,,,,,00X10,,,,,,<2,N,fin
32300001350,123D000208,720P,"Ruoansulatuskanavan yhdistetty endoskopia, anestesia",720P,0,+,23.0,,,,P,17E10,17E11,00X10,,,,,,<2,N,fin
32300001600,123D000209,720Q,Ruoansulatuskanavan yhdistetty endoskopia ilman anestesiaa,720Q,0,+,23.0,,,,P,17E10,17E11,,,,,,,<2,N,fin
32300002174,123D000218,710P,"Paksusuolen tähystys, anestesia",710P,0,+,23.0,,,,P,17E10,,00X10,,,,,,<2,N,fin
32300002183,123D000219,710Q,Paksusuolen tähystys ilman anestesiaa,710Q,0,+,23.0,,,,P,17E10,,,,,,,,<2,N,fin
32300002274,123D000228,711P,"Ruoansulatuskanavan yläosan tähystys, anestesia",711P,0,+,23.0,,,,P,17E11,,00X10,,,,,,<2,N,fin
32300002283,123D000229,711Q,Ruoansulatuskanavan yläosan tähystys ilman anestesiaa,711Q,0,+,23.0,,,,P,17E11,,,,,,,,<2,N,fin
32300002400,123D000240,718O,Alempien virtsateiden tähystys,718O,0,+,23.0,,,,P,17E18,,,,,,,,<2,N,den/est/fin/ice/lat/nor
32300020000,123D002000,901Q,"Vaativa pään, niskan tai keskushermoston diagnostinen toimenpide",901FQ,0,+,23.0,,,,N,01D02,,,,,,,,<2,N,fin
32300020200,123D002020,905Q,"Sydän- ja verisuonisairaus, vaativa diagnostinen toimenpide",905FQ,0,+,23.0,,,,N,05D22,,,,,,,,<2,N,fin
32300020400,123D002040,905S,Vaativa ääreisverenkierron diagnostinen toimenpide,905FS,0,+,23.0,,,,N,05D62,,,,,,,,<2,N,fin
32300020600,123D002060,905T,Imusuoniston diagnostinen toimenpide,905FT,0,+,23.0,,,,N,05D64,,,,,,,,<2,N,fin
32300020800,123D002080,906Q,"Ruuansulatuskanavan sairaus, vaativa diagnostinen toimenpide",906FQ,0,+,23.0,,,,N,06D32,,,,,,,,<2,N,fin
32300021000,123D002100,908Q,"Tuki- ja liikuntaelinten sairaus, vaativa diagnostinen toimenpide",908FQ,0,+,23.0,,,,N,08D42,,,,,,,,<2,N,fin
32300021200,123D002120,930Q,Rinnan vaativa diagnostinen toimenpide,930FQ,0,+,23.0,,,,N,30D72,,,,,,,,<2,N,fin
32300021300,123D002130,917W,Sädehoidon vaativa annossuunnittelu magneettitutkimuksella,917FW,0,+,23.0,,,,N,90D92,,90X01,,,,,,<2,N,fin
32300022000,123D002200,901P,"Pään, niskan tai keskushermoston diagnostinen toimenpide",901FP,0,+,23.0,,,,N,01D01,,,,,,,,<2,N,fin
32300022200,123D002220,905P,"Sydän- ja verisuonisairaus, diagnostinen toimenpide",905FP,0,+,23.0,,,,N,05D21,,,,,,,,<2,N,fin
32300022300,105D2180002,705O,"Kardiologinen ultraäänitutkimus, lyhyt hoito",790V,0,+,,,,,,05V09,,,,,,,,<2,,fin
32300022400,123D002240,906P,"Ruuansulatuskanavan sairaus, diagnostinen toimenpide",906FP,0,+,23.0,,,,N,06D31,,,,,,,,<2,N,fin
32300022600,123D002260,908P,"Tuki- ja liikuntaelinten sairaus, diagnostinen toimenpide",908FP,0,+,23.0,,,,N,08D41,,,,,,,,<2,N,fin
32300022800,123D002280,910P,Endokriininen diagnostinen toimenpide,910FP,0,+,23.0,,,,N,10D11,,,,,,,,<2,N,fin
32300023000,123D002300,930P,Rinnan diagnostinen toimenpide,930FP,0,+,23.0,,,,N,30D71,,,,,,,,<2,N,fin
32300023200,123D002320,917V,Sädehoidon annossuunnittelu magneettitutkimuksella,917FV,0,+,23.0,,,,N,90D91,,90X01,,,,,,<2,N,fin
32300030400,123D003040,917E,"Muu tai erilaistumaton syöpä, erityslääkehoito, lyhyt hoito",917FE,0,+,23.0,,,,N,90T01,90S01,90X01,,,,,,<2,N,fin
32300031000,123D003100,917U,Malignin sairauden lyhyt sädehoito,917FU,0,+,23.0,,,,N,90T05,,90X01,,,,,,<2,N,fin
32300100000,123D010000,462O,"Kuntoutus, lyhyt hoitojakso",462O,0,+,23.0,23M01,,,,,,,,,,,,<2,N,den/est/fin/lat
32300320010,123D032001,901O,"Neurologinen sairaus, lyhyt hoito ilman merkittävää toimenpidettä",901O,0,+,23.0,23M04,,,Z,,,01K99,,,,,,<2,N,est/fin/ice/lat
32300320020,123D032002,902O,"Silmäsairaus, lyhyt hoito ilman merkittävää toimenpidettä",902O,0,+,23.0,23M04,,,Z,,,02K99,,,,,,<2,N,est/fin/ice/lat
32300320030,123D032003,903O,"Suun, korvan, nenän tai kurkun sairaus, lyhyt hoito ilman merkittävää toimenpidettä",903O,0,+,23.0,23M04,,,Z,,,03K99,,,,,,<2,N,est/fin/ice/lat
32300320040,123D032004,904O,"Keuhkosairaus, lyhyt hoito ilman merkittävää toimenpidettä",904O,0,+,23.0,23M04,,,Z,,,04K99,,,,,,<2,N,est/fin/ice/lat
32300320050,123D032005,905O,"Sydän- ja verisuonisairaus, lyhyt hoito ilman merkittävää toimenpidettä",905O,0,+,23.0,23M04,,,Z,,,05K99,,,,,,<2,N,est/fin/ice/lat
32300320060,123D032006,906O,"Ruuansulatuskanavan sairaus, lyhyt hoito ilman merkittävää toimenpidettä",906O,0,+,23.0,23M04,,,Z,,,06K99,,,,,,<2,N,est/fin/ice/lat
32300320070,123D032007,907O,"Maksan, sappiteiden tai haiman sairaus, lyhyt hoito ilman merkittävää toimenpidettä",907O,0,+,23.0,23M04,,,Z,,,07K99,,,,,,<2,N,est/fin/ice/lat
32300320080,123D032008,908O,"Tuki- ja liikuntaelinten sairaus, lyhyt hoito ilman merkittävää toimenpidettä",908O,0,+,23.0,23M04,,,Z,,,08K99,,,,,,<2,N,est/fin/ice/lat
32300320090,123D032009,909O,"Ihosairaus, lyhyt hoito ilman merkittävää toimenpidettä",909O,0,+,23.0,23M04,,,Z,,,09K99,,,,,,<2,N,est/fin/ice/lat
32300320100,123D032010,930O,"Rintarauhasen sairaus, lyhyt hoito ilman merkittävää toimenpidettä",930O,0,+,23.0,23M04,,,Z,,,30K99,,,,,,<2,N,est/fin/ice/lat
32300320110,123D032011,910O,"Endokriininen sairaus, lyhyt hoito ilman merkittävää toimenpidettä",910O,0,+,23.0,23M04,,,Z,,,10K99,,,,,,<2,N,est/fin/ice/lat
32300320120,123D032012,911O,"Virtsaelinten sairaus, lyhyt hoito ilman merkittävää toimenpidettä",911O,0,+,23.0,23M04,,,Z,,,11K99,,,,,,<2,N,est/fin/ice/lat
32300320130,123D032013,912O,"Eturauhasen, kiveksen, peniksen jne. syöpäsairaus, lyhyt hoito ilman merkittävää toimenpidettä",912O,0,+,23.0,23M04,,,Z,,,12K99,,,,,,<2,N,est/fin/ice/lat
32300320140,123D032014,913O,"Vulvan, vaginan, cervixin, munasarjan, jne. sairaus, lyhyt hoito ilman merkittävää toimenpidettä",913O,0,+,23.0,23M04,,,Z,,,13K99,,,,,,<2,N,est/fin/ice/lat
32300320150,123D032015,914O,"Raskauden hoito, lyhyt hoito ilman merkittävää toimenpidettä",914O,0,+,23.0,23M04,,,Z,,,14K99,,,,,,<2,N,est/fin/ice/lat
32300320160,123D032016,915O,Vastasyntyneen lyhyt hoito ilman merkittävää toimenpidettä,915O,0,+,23.0,23M04,,,Z,,,15K99,,,,,,<2,N,est/fin/ice/lat
32300320170,123D032017,916O,"Hematologia, lyhyt hoito ilman merkittävää toimenpidettä",916O,0,+,23.0,23M04,,,Z,,,16K99,,,,,,<2,N,est/fin/ice/lat
32300320180,123D032018,917O,Pahanlaatuisen sairauden lyhyt hoito ilman merkittävää toimenpidettä,917O,0,+,23.0,23M04,,,Z,,,17K99,,,,,,<2,N,est/fin/ice/lat
32300320190,123D032019,918O,"Infektio, lyhyt hoito ilman merkittävää toimenpidettä",918O,0,+,23.0,23M04,,,Z,,,18K99,,,,,,<2,N,est/fin/ice/lat
32300320210,123D032021,921O,"Vamma tai myrkytys, lyhyt hoito ilman merkittävää toimenpidettä",921O,0,+,23.0,23M04,,,Z,,,21K99,,,,,,<2,N,est/fin/ice/lat
32300320220,123D032022,922O,"Palovamma, lyhyt hoito ilman merkittävää toimenpidettä",922O,0,+,23.0,23M04,,,Z,,,22K99,,,,,,<2,N,est/fin/ice/lat
32300320230,123D032023,921O,"Vamma tai myrkytys, lyhyt hoito ilman merkittävää toimenpidettä",921O,0,+,23.0,23M04,,,Z,,,24K90,,,,,,<2,N,est/fin/lat
32300359115,123D039899,823T,"Siedätyshoito, lyhyt hoito",823T,0,+,,,,,N,40V10,,,,,,,,<2,,fin
32300378557,123D039799,928O,"Perinnöllisyysneuvonta, lyhyt hoito",928O,0,+,23.0,23M06,,,Z,,,,,,,,,<2,N,fin
32300398000,123D039800,923O,"Muu tai määrittämätön ongelma, lyhyt hoito ilman merkittävää toimenpidettä",923O,0,+,23.0,,,,Z,,,,,,,,,<2,N,den/est/fin/lat
32300399000,123D039900,823O,"Muu ongelma, pientoimenpide, lyhyt hoito",823O,0,+,23.0,,,,N,,,,,,,,,<2,N,den/est/fin/lat
39000099000,190D009900,570O,"Keskushermoston stimulointilaitteen asennus tai korvaaminen, lyhyt hoito",570O,0,+,,,,,S,01S51,,,,,,,,<2,N,den/est/fin/ice/lat/nor
39000201000,190D020100,037O,"Silmämunan ja silmäkuopan leikkaukset, lyhyt hoito",037O,0,+,,,,,S,02S01,,08X30,,,,,,<2,N,den/est/fin/ice/lat/nor
39000300000,190D030000,169O,"Suun alueen leikkaus, lyhyt hoito",169O,0,+,,,,,S,03S05,,08X30,,,,,,<2,N,den/est/fin/ice/lat/nor
39000300500,190D030050,063O,"Muu korvan, nenän tai kurkun alueen toimenpide, lyhyt hoito",063O,0,+,,,,,S,03S12,,08X30,,,,,,<2,N,den/est/fin/ice/lat/nor
39000304300,190D030430,056O,"Nenän muovausleikkaus, lyhyt hoito",056O,0,+,,,,,S,03S07,,08X30,,,,,,<2,N,den/est/fin/ice/lat/nor
39000500000,190D050000,120O,"Muu verenkiertoelinten toimenpide, lyhyt hoito",120O,A,+,,,,,S,,,05X06,,,,,,<2,N,den/est/fin/ice/lat/nor
39000600000,190D060000,171O,"Muu ruuansulatuskanavan leikkaus, lyhyt hoito",171O,0,+,,,,,S,06S30,,06X07,,,,,,<2,N,den/est/fin/ice/lat/nor
39000600200,190D060020,227O,"Pehmytkudosleikkaus, lyhyt hoito",227O,0,+,,,08P03,,S,08S12,,,,,,,,<2,N,fin
39000900000,190D090000,258O,"Rintarauhasen poisto maligniteetin takia, lyhyt hoito",258O,0,+,,,,,S,30S03,,30X01,,,,,,<2,N,den/est/fin/ice/lat/nor
39000900200,190D090020,258O,"Rintarauhasen poisto maligniteetin takia, lyhyt hoito",258O,0,+,,,,,S,30S11,,30X01,,,,,,<2,N,fin
39000902900,190D090290,260O,"Rintarauhasen osittainen poisto maligniteetin takia, lyhyt hoito",260O,0,+,,,,,S,30S04,,30X01,,,,,,<2,N,fin
39000903100,190D090310,260O,"Rintarauhasen osittainen poisto maligniteetin takia, lyhyt hoito",260O,0,+,,,,,S,30S05,,30X01,,,,,,<2,N,den/est/fin/ice/lat/nor
39001000000,190D100000,293O,"Muu leikkaus endokriinisen, nutritionaalisen tai metabolisen sairauden vuoksi, lyhyt hoito",293O,0,+,,,,,S,08S10,,10X03,,,,,,<2,N,den/est/fin/ice/lat/nor
39001100000,190D110000,315O,"Muu munuaisten tai virtsateiden toimenpide, lyhyt hoito",315O,0,+,,,,,S,11S10,,11X02,,,,,,<2,N,den/est/fin/ice/lat/nor
39006041000,190D604100,443O,"Muu vamman takia tehty toimenpide, lyhyt hoito",443O,0,+,,,00P21,,S,21S04,,,,,,,,<2,N,den/est/fin/ice/lat/nor
39900000000,199D000000,468O,"Epätavallinen toimenpiteen ja diagnoosin yhdistelmä, laaja toimenpide, lyhyt hoito",468O,7,+,,,,,S,99S90,,,,,,,,<2,N,den/est/fin/lat
39900001000,199D000100,468O,"Epätavallinen toimenpiteen ja diagnoosin yhdistelmä, laaja toimenpide, lyhyt hoito",468O,7,+,,,,,,99S90,,00X10,,,,,,<2,N,fin
57809900010,000D0040109,470V,"Potilaan sukupuoli puuttuu, lyhyt hoito",470V,2,+,98.0,,,,,,,,,,,,,<2,,est/fin/ice/lat/nor
57900010000,199D001000,477O,"Epätavallinen toimenpiteen ja diagnoosin yhdistelmä, suppea toimenpide, lyhyt hoito",477O,7,+,,,,,P,,,,,,,,,<2,N,den/est/fin/ice/lat
59909999900,299D999990,470U,"Kelpaamaton päädiagnoosi, lyhyt hoito",470U,9,,,,,,,,,,,,,,,<2,N,fin/est
67478249975,400D300300,495,Keuhkonsiirto,495X,0,+,,,,,S,00S04,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70001000000,400D100000,480,Maksansiirto,480X,0,+,,,,,S,00S01,,,,,,,,,,fin
70002001000,400D200100,481B,"Allogeeninen kantasolusiirto, aikuinen",481B,0,+,,,,,,17S03,,,,,,>6574,,,,den/fin/ice/lat/nor
70002001100,400D200110,481C,"Muu kantasolusiirto, komplisoitunut",481C,0,+,,,,,,17S03,,,,,,,,,,den/fin/ice/lat/nor
70002001200,400D200120,481A,Muu kantasolusiirto,481A,0,+,,,,,,17S04,,,,,,,,,,den/fin/ice/lat/nor
70003001000,400D300100,103,Sydämensiirto,103X,0,+,,,,,S,00S07,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70003002000,400D300200,103,Sydämensiirto,103X,0,+,5.0,,,,S,05S01,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70003004000,400D300400,191A,Haiman siirto munuaissiirton yhdistettynä tai ilman,191A,0,+,,,,,S,00S06,,,,,,,,,,den/est/fin/ice/lat/nor/swe
70003005000,400D300500,302,Munuaisensiirto,302X,0,+,,,,,S,11S01,,,,,,,,,,den/fin/ice/lat/nor
70003006000,400D300600,482,"Henkitorviavanteen vaativa kasvojen, suun tai kaulan sairauden hoito",482X,0,+,,,00P11,,S,00S03,,,,,,,,,,den/fin/ice/lat/nor
